"Plot Title: TO04-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578635, SEN S/N: 10578635)","Intensity, lum/ft² (LGR S/N: 10578635, SEN S/N: 10578635)","Coupler Attached (LGR S/N: 10578635)","Host Connected (LGR S/N: 10578635)","Stopped (LGR S/N: 10578635)","End Of File (LGR S/N: 10578635)"
41,09/14/14 01:00:00 PM,14.325,45.0,,,,
42,09/14/14 04:00:00 PM,16.618,29.0,,,,
43,09/14/14 07:00:00 PM,15.282,2.0,,,,
44,09/14/14 10:00:00 PM,12.690,0.0,,,,
45,09/15/14 01:00:00 AM,11.041,0.0,,,,
46,09/15/14 04:00:00 AM,10.357,0.0,,,,
47,09/15/14 07:00:00 AM,9.571,0.0,,,,
48,09/15/14 10:00:00 AM,11.236,34.0,,,,
49,09/15/14 01:00:00 PM,16.523,49.0,,,,
50,09/15/14 04:00:00 PM,17.570,34.0,,,,
51,09/15/14 07:00:00 PM,16.618,3.0,,,,
52,09/15/14 10:00:00 PM,14.900,0.0,,,,
53,09/16/14 01:00:00 AM,13.365,0.0,,,,
54,09/16/14 04:00:00 AM,12.690,0.0,,,,
55,09/16/14 07:00:00 AM,12.690,0.0,,,,
56,09/16/14 10:00:00 AM,13.558,38.0,,,,
57,09/16/14 01:00:00 PM,15.664,85.0,,,,
58,09/16/14 04:00:00 PM,16.523,62.0,,,,
59,09/16/14 07:00:00 PM,15.664,2.0,,,,
60,09/16/14 10:00:00 PM,14.325,0.0,,,,
61,09/17/14 01:00:00 AM,13.558,0.0,,,,
62,09/17/14 04:00:00 AM,13.461,0.0,,,,
63,09/17/14 07:00:00 AM,13.076,1.0,,,,
64,09/17/14 10:00:00 AM,14.134,31.0,,,,
65,09/17/14 01:00:00 PM,15.855,67.0,,,,
66,09/17/14 04:00:00 PM,16.903,50.0,,,,
67,09/17/14 07:00:00 PM,15.951,0.0,,,,
68,09/17/14 10:00:00 PM,14.996,0.0,,,,
69,09/18/14 01:00:00 AM,14.325,0.0,,,,
70,09/18/14 04:00:00 AM,14.038,0.0,,,,
71,09/18/14 07:00:00 AM,13.942,0.0,,,,
72,09/18/14 10:00:00 AM,13.750,13.0,,,,
73,09/18/14 01:00:00 PM,14.325,47.0,,,,
74,09/18/14 04:00:00 PM,14.230,40.0,,,,
75,09/18/14 07:00:00 PM,13.846,0.0,,,,
76,09/18/14 10:00:00 PM,13.654,0.0,,,,
77,09/19/14 01:00:00 AM,13.461,0.0,,,,
78,09/19/14 04:00:00 AM,13.269,0.0,,,,
79,09/19/14 07:00:00 AM,12.980,0.0,,,,
80,09/19/14 10:00:00 AM,13.942,57.0,,,,
81,09/19/14 01:00:00 PM,14.996,51.0,,,,
82,09/19/14 04:00:00 PM,15.951,28.0,,,,
83,09/19/14 07:00:00 PM,15.378,0.0,,,,
84,09/19/14 10:00:00 PM,13.558,0.0,,,,
85,09/20/14 01:00:00 AM,11.916,0.0,,,,
86,09/20/14 04:00:00 AM,10.651,0.0,,,,
87,09/20/14 07:00:00 AM,10.161,0.0,,,,
88,09/20/14 10:00:00 AM,11.334,19.0,,,,
89,09/20/14 01:00:00 PM,16.046,41.0,,,,
90,09/20/14 04:00:00 PM,17.855,25.0,,,,
91,09/20/14 07:00:00 PM,17.094,0.0,,,,
92,09/20/14 10:00:00 PM,15.378,0.0,,,,
93,09/21/14 01:00:00 AM,14.230,0.0,,,,
94,09/21/14 04:00:00 AM,13.750,0.0,,,,
95,09/21/14 07:00:00 AM,12.883,0.0,,,,
96,09/21/14 10:00:00 AM,13.942,24.0,,,,
97,09/21/14 01:00:00 PM,17.379,46.0,,,,
98,09/21/14 04:00:00 PM,18.711,28.0,,,,
99,09/21/14 07:00:00 PM,17.855,0.0,,,,
100,09/21/14 10:00:00 PM,16.427,0.0,,,,
101,09/22/14 01:00:00 AM,15.282,0.0,,,,
102,09/22/14 04:00:00 AM,14.517,0.0,,,,
103,09/22/14 07:00:00 AM,13.942,0.0,,,,
104,09/22/14 10:00:00 AM,14.613,21.0,,,,
105,09/22/14 01:00:00 PM,16.046,54.0,,,,
106,09/22/14 04:00:00 PM,16.332,91.0,,,,
107,09/22/14 07:00:00 PM,15.855,0.0,,,,
108,09/22/14 10:00:00 PM,14.613,0.0,,,,
109,09/23/14 01:00:00 AM,13.654,0.0,,,,
110,09/23/14 04:00:00 AM,12.980,0.0,,,,
111,09/23/14 07:00:00 AM,12.497,0.0,,,,
112,09/23/14 10:00:00 AM,13.461,8.0,,,,
113,09/23/14 01:00:00 PM,14.804,34.0,,,,
114,09/23/14 04:00:00 PM,14.517,30.0,,,,
115,09/23/14 07:00:00 PM,14.038,0.0,,,,
116,09/23/14 10:00:00 PM,13.846,0.0,,,,
117,09/24/14 01:00:00 AM,14.230,0.0,,,,
118,09/24/14 04:00:00 AM,13.942,0.0,,,,
119,09/24/14 07:00:00 AM,12.980,0.0,,,,
120,09/24/14 10:00:00 AM,12.883,19.0,,,,
121,09/24/14 01:00:00 PM,13.269,13.0,,,,
122,09/24/14 04:00:00 PM,13.558,49.0,,,,
123,09/24/14 07:00:00 PM,13.076,1.0,,,,
124,09/24/14 10:00:00 PM,12.304,0.0,,,,
125,09/25/14 01:00:00 AM,12.207,0.0,,,,
126,09/25/14 04:00:00 AM,11.916,0.0,,,,
127,09/25/14 07:00:00 AM,11.625,0.0,,,,
128,09/25/14 10:00:00 AM,12.207,29.0,,,,
129,09/25/14 01:00:00 PM,13.173,81.0,,,,
130,09/25/14 04:00:00 PM,13.365,26.0,,,,
131,09/25/14 07:00:00 PM,12.594,0.0,,,,
132,09/25/14 10:00:00 PM,11.236,0.0,,,,
133,09/26/14 01:00:00 AM,11.041,0.0,,,,
134,09/26/14 04:00:00 AM,11.041,0.0,,,,
135,09/26/14 07:00:00 AM,11.041,0.0,,,,
136,09/26/14 10:00:00 AM,11.334,27.0,,,,
137,09/26/14 01:00:00 PM,11.916,35.0,,,,
138,09/26/14 04:00:00 PM,12.497,35.0,,,,
139,09/26/14 07:00:00 PM,12.304,0.0,,,,
140,09/26/14 10:00:00 PM,12.013,0.0,,,,
141,09/27/14 01:00:00 AM,11.139,0.0,,,,
142,09/27/14 04:00:00 AM,10.553,0.0,,,,
143,09/27/14 07:00:00 AM,9.768,0.0,,,,
144,09/27/14 10:00:00 AM,9.472,14.0,,,,
145,09/27/14 01:00:00 PM,12.110,98.0,,,,
146,09/27/14 04:00:00 PM,12.883,27.0,,,,
147,09/27/14 07:00:00 PM,12.401,0.0,,,,
148,09/27/14 10:00:00 PM,12.207,0.0,,,,
149,09/28/14 01:00:00 AM,11.916,0.0,,,,
150,09/28/14 04:00:00 AM,10.651,0.0,,,,
151,09/28/14 07:00:00 AM,8.978,0.0,,,,
152,09/28/14 10:00:00 AM,9.275,14.0,,,,
153,09/28/14 01:00:00 PM,12.304,40.0,,,,
154,09/28/14 04:00:00 PM,13.558,16.0,,,,
155,09/28/14 07:00:00 PM,13.269,0.0,,,,
156,09/28/14 10:00:00 PM,11.625,0.0,,,,
157,09/29/14 01:00:00 AM,10.161,0.0,,,,
158,09/29/14 04:00:00 AM,9.176,0.0,,,,
159,09/29/14 07:00:00 AM,8.581,0.0,,,,
160,09/29/14 10:00:00 AM,9.768,49.0,,,,
161,09/29/14 01:00:00 PM,12.013,39.0,,,,
162,09/29/14 04:00:00 PM,12.013,31.0,,,,
163,09/29/14 07:00:00 PM,12.013,0.0,,,,
164,09/29/14 10:00:00 PM,10.651,0.0,,,,
165,09/30/14 01:00:00 AM,9.571,0.0,,,,
166,09/30/14 04:00:00 AM,9.472,0.0,,,,
167,09/30/14 07:00:00 AM,9.275,0.0,,,,
168,09/30/14 10:00:00 AM,9.571,28.0,,,,
169,09/30/14 01:00:00 PM,10.161,32.0,,,,
170,09/30/14 04:00:00 PM,10.553,10.0,,,,
171,09/30/14 07:00:00 PM,10.161,0.0,,,,
172,09/30/14 10:00:00 PM,9.965,0.0,,,,
173,10/01/14 01:00:00 AM,9.472,0.0,,,,
174,10/01/14 04:00:00 AM,8.382,0.0,,,,
175,10/01/14 07:00:00 AM,7.682,0.0,,,,
176,10/01/14 10:00:00 AM,8.182,25.0,,,,
177,10/01/14 01:00:00 PM,9.768,51.0,,,,
178,10/01/14 04:00:00 PM,10.455,47.0,,,,
179,10/01/14 07:00:00 PM,9.472,0.0,,,,
180,10/01/14 10:00:00 PM,7.481,0.0,,,,
181,10/02/14 01:00:00 AM,7.582,0.0,,,,
182,10/02/14 04:00:00 AM,6.573,0.0,,,,
183,10/02/14 07:00:00 AM,5.450,0.0,,,,
184,10/02/14 10:00:00 AM,5.757,12.0,,,,
185,10/02/14 01:00:00 PM,8.581,34.0,,,,
186,10/02/14 04:00:00 PM,10.357,18.0,,,,
187,10/02/14 07:00:00 PM,10.161,0.0,,,,
188,10/02/14 10:00:00 PM,8.680,0.0,,,,
189,10/03/14 01:00:00 AM,7.582,0.0,,,,
190,10/03/14 04:00:00 AM,6.978,0.0,,,,
191,10/03/14 07:00:00 AM,6.877,0.0,,,,
192,10/03/14 10:00:00 AM,8.082,12.0,,,,
193,10/03/14 01:00:00 PM,11.722,31.0,,,,
194,10/03/14 04:00:00 PM,13.173,18.0,,,,
195,10/03/14 07:00:00 PM,12.690,0.0,,,,
196,10/03/14 10:00:00 PM,11.139,0.0,,,,
197,10/04/14 01:00:00 AM,9.768,0.0,,,,
198,10/04/14 04:00:00 AM,9.077,0.0,,,,
199,10/04/14 07:00:00 AM,9.472,0.0,,,,
200,10/04/14 10:00:00 AM,10.455,30.0,,,,
201,10/04/14 01:00:00 PM,12.207,48.0,,,,
202,10/04/14 04:00:00 PM,13.461,21.0,,,,
203,10/04/14 07:00:00 PM,12.883,0.0,,,,
204,10/04/14 10:00:00 PM,11.528,0.0,,,,
205,10/05/14 01:00:00 AM,10.357,0.0,,,,
206,10/05/14 04:00:00 AM,9.571,0.0,,,,
207,10/05/14 07:00:00 AM,9.373,0.0,,,,
208,10/05/14 10:00:00 AM,10.063,11.0,,,,
209,10/05/14 01:00:00 PM,13.173,29.0,,,,
210,10/05/14 04:00:00 PM,14.709,16.0,,,,
211,10/05/14 07:00:00 PM,14.230,0.0,,,,
212,10/05/14 10:00:00 PM,12.980,0.0,,,,
213,10/06/14 01:00:00 AM,11.722,0.0,,,,
214,10/06/14 04:00:00 AM,11.041,0.0,,,,
215,10/06/14 07:00:00 AM,10.455,0.0,,,,
216,10/06/14 10:00:00 AM,10.748,10.0,,,,
217,10/06/14 01:00:00 PM,13.269,28.0,,,,
218,10/06/14 04:00:00 PM,15.282,16.0,,,,
219,10/06/14 07:00:00 PM,14.996,0.0,,,,
220,10/06/14 10:00:00 PM,13.654,0.0,,,,
221,10/07/14 01:00:00 AM,12.401,0.0,,,,
222,10/07/14 04:00:00 AM,11.528,0.0,,,,
223,10/07/14 07:00:00 AM,10.748,0.0,,,,
224,10/07/14 10:00:00 AM,10.846,10.0,,,,
225,10/07/14 01:00:00 PM,13.846,28.0,,,,
226,10/07/14 04:00:00 PM,14.996,16.0,,,,
227,10/07/14 07:00:00 PM,14.709,0.0,,,,
228,10/07/14 10:00:00 PM,13.365,0.0,,,,
229,10/08/14 01:00:00 AM,12.401,0.0,,,,
230,10/08/14 04:00:00 AM,11.916,0.0,,,,
231,10/08/14 07:00:00 AM,11.139,0.0,,,,
232,10/08/14 10:00:00 AM,11.528,34.0,,,,
233,10/08/14 01:00:00 PM,13.365,61.0,,,,
234,10/08/14 04:00:00 PM,13.654,16.0,,,,
235,10/08/14 07:00:00 PM,13.365,0.0,,,,
236,10/08/14 10:00:00 PM,12.207,0.0,,,,
237,10/09/14 01:00:00 AM,10.259,0.0,,,,
238,10/09/14 04:00:00 AM,9.077,0.0,,,,
239,10/09/14 07:00:00 AM,7.983,0.0,,,,
240,10/09/14 10:00:00 AM,8.382,18.0,,,,
241,10/09/14 01:00:00 PM,11.236,28.0,,,,
242,10/09/14 04:00:00 PM,13.365,18.0,,,,
243,10/09/14 07:00:00 PM,12.787,0.0,,,,
244,10/09/14 10:00:00 PM,11.139,0.0,,,,
245,10/10/14 01:00:00 AM,9.768,0.0,,,,
246,10/10/14 04:00:00 AM,8.680,0.0,,,,
247,10/10/14 07:00:00 AM,7.782,0.0,,,,
248,10/10/14 10:00:00 AM,8.282,9.0,,,,
249,10/10/14 01:00:00 PM,11.528,53.0,,,,
250,10/10/14 04:00:00 PM,12.980,36.0,,,,
251,10/10/14 07:00:00 PM,12.594,0.0,,,,
252,10/10/14 10:00:00 PM,12.207,0.0,,,,
253,10/11/14 01:00:00 AM,11.041,0.0,,,,
254,10/11/14 04:00:00 AM,10.846,0.0,,,,
255,10/11/14 07:00:00 AM,10.944,0.0,,,,
256,10/11/14 10:00:00 AM,10.063,13.0,,,,
257,10/11/14 01:00:00 PM,11.139,10.0,,,,
258,10/11/14 04:00:00 PM,9.866,6.0,,,,
259,10/11/14 07:00:00 PM,10.161,0.0,,,,
260,10/11/14 10:00:00 PM,9.965,0.0,,,,
261,10/12/14 01:00:00 AM,9.866,0.0,,,,
262,10/12/14 04:00:00 AM,9.866,0.0,,,,
263,10/12/14 07:00:00 AM,9.472,0.0,,,,
264,10/12/14 10:00:00 AM,9.571,22.0,,,,
265,10/12/14 01:00:00 PM,10.357,55.0,,,,
266,10/12/14 04:00:00 PM,10.944,36.0,,,,
267,10/12/14 07:00:00 PM,10.553,0.0,,,,
268,10/12/14 10:00:00 PM,10.161,0.0,,,,
269,10/13/14 01:00:00 AM,9.768,0.0,,,,
270,10/13/14 04:00:00 AM,8.978,0.0,,,,
271,10/13/14 07:00:00 AM,7.682,0.0,,,,
272,10/13/14 10:00:00 AM,8.680,19.0,,,,
273,10/13/14 01:00:00 PM,11.625,48.0,,,,
274,10/13/14 04:00:00 PM,11.722,6.0,,,,
275,10/13/14 07:00:00 PM,11.431,0.0,,,,
276,10/13/14 10:00:00 PM,11.819,0.0,,,,
277,10/14/14 01:00:00 AM,9.965,0.0,,,,
278,10/14/14 04:00:00 AM,9.176,0.0,,,,
279,10/14/14 07:00:00 AM,8.680,0.0,,,,
280,10/14/14 10:00:00 AM,9.176,26.0,,,,
281,10/14/14 01:00:00 PM,10.651,70.0,,,,
282,10/14/14 04:00:00 PM,10.846,29.0,,,,
283,10/14/14 07:00:00 PM,10.357,0.0,,,,
284,10/14/14 10:00:00 PM,9.866,0.0,,,,
285,10/15/14 01:00:00 AM,9.472,0.0,,,,
286,10/15/14 04:00:00 AM,9.275,0.0,,,,
287,10/15/14 07:00:00 AM,8.879,0.0,,,,
288,10/15/14 10:00:00 AM,8.978,18.0,,,,
289,10/15/14 01:00:00 PM,8.481,25.0,,,,
290,10/15/14 04:00:00 PM,8.879,26.0,,,,
291,10/15/14 07:00:00 PM,8.182,0.0,,,,
292,10/15/14 10:00:00 PM,8.182,0.0,,,,
293,10/16/14 01:00:00 AM,8.082,0.0,,,,
294,10/16/14 04:00:00 AM,7.983,0.0,,,,
295,10/16/14 07:00:00 AM,7.782,0.0,,,,
296,10/16/14 10:00:00 AM,8.182,11.0,,,,
297,10/16/14 01:00:00 PM,9.077,23.0,,,,
298,10/16/14 04:00:00 PM,9.669,10.0,,,,
299,10/16/14 07:00:00 PM,8.879,0.0,,,,
300,10/16/14 10:00:00 PM,7.481,0.0,,,,
301,10/17/14 01:00:00 AM,7.782,0.0,,,,
302,10/17/14 04:00:00 AM,8.282,0.0,,,,
303,10/17/14 07:00:00 AM,8.382,0.0,,,,
304,10/17/14 10:00:00 AM,9.077,12.0,,,,
305,10/17/14 01:00:00 PM,10.063,19.0,,,,
306,10/17/14 04:00:00 PM,10.455,10.0,,,,
307,10/17/14 07:00:00 PM,10.259,0.0,,,,
308,10/17/14 10:00:00 PM,10.259,0.0,,,,
309,10/18/14 01:00:00 AM,10.259,0.0,,,,
310,10/18/14 04:00:00 AM,10.357,0.0,,,,
311,10/18/14 07:00:00 AM,10.357,0.0,,,,
312,10/18/14 10:00:00 AM,11.041,40.0,,,,
313,10/18/14 01:00:00 PM,12.594,49.0,,,,
314,10/18/14 04:00:00 PM,13.173,5.0,,,,
315,10/18/14 07:00:00 PM,12.207,0.0,,,,
316,10/18/14 10:00:00 PM,10.944,0.0,,,,
317,10/19/14 01:00:00 AM,10.357,0.0,,,,
318,10/19/14 04:00:00 AM,10.063,0.0,,,,
319,10/19/14 07:00:00 AM,9.768,0.0,,,,
320,10/19/14 10:00:00 AM,10.651,32.0,,,,
321,10/19/14 01:00:00 PM,12.690,68.0,,,,
322,10/19/14 04:00:00 PM,13.461,10.0,,,,
323,10/19/14 07:00:00 PM,12.304,0.0,,,,
324,10/19/14 10:00:00 PM,10.944,0.0,,,,
325,10/20/14 01:00:00 AM,10.455,0.0,,,,
326,10/20/14 04:00:00 AM,10.944,0.0,,,,
327,10/20/14 07:00:00 AM,11.139,0.0,,,,
328,10/20/14 10:00:00 AM,10.944,13.0,,,,
329,10/20/14 01:00:00 PM,11.431,7.0,,,,
330,10/20/14 04:00:00 PM,10.846,41.0,,,,
331,10/20/14 07:00:00 PM,10.161,0.0,,,,
332,10/20/14 10:00:00 PM,9.669,0.0,,,,
333,10/21/14 01:00:00 AM,9.275,0.0,,,,
334,10/21/14 04:00:00 AM,9.077,0.0,,,,
335,10/21/14 07:00:00 AM,8.978,0.0,,,,
336,10/21/14 10:00:00 AM,9.077,36.0,,,,
337,10/21/14 01:00:00 PM,9.077,26.0,,,,
338,10/21/14 04:00:00 PM,9.373,8.0,,,,
339,10/21/14 07:00:00 PM,8.978,0.0,,,,
340,10/21/14 10:00:00 PM,8.978,0.0,,,,
341,10/22/14 01:00:00 AM,8.779,0.0,,,,
342,10/22/14 04:00:00 AM,8.879,0.0,,,,
343,10/22/14 07:00:00 AM,9.571,0.0,,,,
344,10/22/14 10:00:00 AM,9.866,8.0,,,,
345,10/22/14 01:00:00 PM,10.161,7.0,,,,
346,10/22/14 04:00:00 PM,9.965,9.0,,,,
347,10/22/14 07:00:00 PM,9.669,0.0,,,,
348,10/22/14 10:00:00 PM,9.472,0.0,,,,
349,10/23/14 01:00:00 AM,8.581,0.0,,,,
350,10/23/14 04:00:00 AM,8.282,0.0,,,,
351,10/23/14 07:00:00 AM,7.280,0.0,,,,
352,10/23/14 10:00:00 AM,7.280,5.0,,,,
353,10/23/14 01:00:00 PM,7.983,23.0,,,,
354,10/23/14 04:00:00 PM,7.782,14.0,,,,
355,10/23/14 07:00:00 PM,7.079,0.0,,,,
356,10/23/14 10:00:00 PM,6.674,0.0,,,,
357,10/24/14 01:00:00 AM,6.573,0.0,,,,
358,10/24/14 04:00:00 AM,6.674,0.0,,,,
359,10/24/14 07:00:00 AM,5.962,0.0,,,,
360,10/24/14 10:00:00 AM,6.268,36.0,,,,
361,10/24/14 01:00:00 PM,8.082,56.0,,,,
362,10/24/14 04:00:00 PM,8.382,9.0,,,,
363,10/24/14 07:00:00 PM,7.782,0.0,,,,
364,10/24/14 10:00:00 PM,7.280,0.0,,,,
365,10/25/14 01:00:00 AM,7.179,0.0,,,,
366,10/25/14 04:00:00 AM,7.582,0.0,,,,
367,10/25/14 07:00:00 AM,7.582,0.0,,,,
368,10/25/14 10:00:00 AM,8.481,8.0,,,,
369,10/25/14 01:00:00 PM,10.063,18.0,,,,
370,10/25/14 04:00:00 PM,9.866,23.0,,,,
371,10/25/14 07:00:00 PM,9.571,0.0,,,,
372,10/25/14 10:00:00 PM,7.682,0.0,,,,
373,10/26/14 01:00:00 AM,6.775,0.0,,,,
374,10/26/14 04:00:00 AM,5.552,0.0,,,,
375,10/26/14 07:00:00 AM,4.934,0.0,,,,
376,10/26/14 10:00:00 AM,4.415,14.0,,,,
377,10/26/14 01:00:00 PM,5.655,34.0,,,,
378,10/26/14 04:00:00 PM,6.573,36.0,,,,
379,10/26/14 07:00:00 PM,6.370,0.0,,,,
380,10/26/14 10:00:00 PM,6.064,0.0,,,,
381,10/27/14 01:00:00 AM,5.655,0.0,,,,
382,10/27/14 04:00:00 AM,4.311,0.0,,,,
383,10/27/14 07:00:00 AM,3.578,0.0,,,,
384,10/27/14 10:00:00 AM,3.998,20.0,,,,
385,10/27/14 01:00:00 PM,5.655,33.0,,,,
386,10/27/14 04:00:00 PM,6.370,17.0,,,,
387,10/27/14 07:00:00 PM,6.573,0.0,,,,
388,10/27/14 10:00:00 PM,6.268,0.0,,,,
389,10/28/14 01:00:00 AM,6.471,0.0,,,,
390,10/28/14 04:00:00 AM,6.775,0.0,,,,
391,10/28/14 07:00:00 AM,7.179,0.0,,,,
392,10/28/14 10:00:00 AM,7.582,8.0,,,,
393,10/28/14 01:00:00 PM,8.879,71.0,,,,
394,10/28/14 04:00:00 PM,9.275,13.0,,,,
395,10/28/14 07:00:00 PM,8.978,0.0,,,,
396,10/28/14 10:00:00 PM,8.879,0.0,,,,
397,10/29/14 01:00:00 AM,8.779,0.0,,,,
398,10/29/14 04:00:00 AM,8.680,0.0,,,,
399,10/29/14 07:00:00 AM,8.581,0.0,,,,
400,10/29/14 10:00:00 AM,8.779,37.0,,,,
401,10/29/14 01:00:00 PM,9.176,50.0,,,,
402,10/29/14 04:00:00 PM,9.768,33.0,,,,
403,10/29/14 07:00:00 PM,8.978,0.0,,,,
404,10/29/14 10:00:00 PM,8.481,0.0,,,,
405,10/30/14 01:00:00 AM,8.581,0.0,,,,
406,10/30/14 04:00:00 AM,8.879,0.0,,,,
407,10/30/14 07:00:00 AM,9.176,0.0,,,,
408,10/30/14 10:00:00 AM,9.472,9.0,,,,
409,10/30/14 01:00:00 PM,10.553,33.0,,,,
410,10/30/14 04:00:00 PM,10.846,19.0,,,,
411,10/30/14 07:00:00 PM,10.651,0.0,,,,
412,10/30/14 10:00:00 PM,10.161,0.0,,,,
413,10/31/14 01:00:00 AM,9.866,0.0,,,,
414,10/31/14 04:00:00 AM,9.472,0.0,,,,
415,10/31/14 07:00:00 AM,9.176,0.0,,,,
416,10/31/14 10:00:00 AM,8.182,7.0,,,,
417,10/31/14 01:00:00 PM,7.983,30.0,,,,
418,10/31/14 04:00:00 PM,7.983,40.0,,,,
419,10/31/14 07:00:00 PM,7.582,0.0,,,,
420,10/31/14 10:00:00 PM,7.179,0.0,,,,
421,11/01/14 01:00:00 AM,6.064,0.0,,,,
422,11/01/14 04:00:00 AM,5.037,0.0,,,,
423,11/01/14 07:00:00 AM,4.934,0.0,,,,
424,11/01/14 10:00:00 AM,5.450,21.0,,,,
425,11/01/14 01:00:00 PM,6.166,19.0,,,,
426,11/01/14 04:00:00 PM,6.775,26.0,,,,
427,11/01/14 07:00:00 PM,5.450,0.0,,,,
428,11/01/14 10:00:00 PM,5.655,0.0,,,,
429,11/02/14 01:00:00 AM,5.347,0.0,,,,
430,11/02/14 04:00:00 AM,5.655,0.0,,,,
431,11/02/14 07:00:00 AM,5.450,0.0,,,,
432,11/02/14 10:00:00 AM,5.244,19.0,,,,
433,11/02/14 01:00:00 PM,6.674,52.0,,,,
434,11/02/14 04:00:00 PM,7.280,10.0,,,,
435,11/02/14 07:00:00 PM,7.079,0.0,,,,
436,11/02/14 10:00:00 PM,6.877,0.0,,,,
437,11/03/14 01:00:00 AM,6.775,0.0,,,,
438,11/03/14 04:00:00 AM,6.775,0.0,,,,
439,11/03/14 07:00:00 AM,6.877,0.0,,,,
440,11/03/14 10:00:00 AM,7.179,12.0,,,,
441,11/03/14 01:00:00 PM,8.082,59.0,,,,
442,11/03/14 04:00:00 PM,8.581,7.0,,,,
443,11/03/14 07:00:00 PM,8.481,0.0,,,,
444,11/03/14 10:00:00 PM,8.382,0.0,,,,
445,11/04/14 01:00:00 AM,8.282,0.0,,,,
446,11/04/14 04:00:00 AM,8.481,0.0,,,,
447,11/04/14 07:00:00 AM,8.382,0.0,,,,
448,11/04/14 10:00:00 AM,8.481,12.0,,,,
449,11/04/14 01:00:00 PM,9.176,56.0,,,,
450,11/04/14 04:00:00 PM,9.768,17.0,,,,
451,11/04/14 07:00:00 PM,9.077,0.0,,,,
452,11/04/14 10:00:00 PM,8.082,0.0,,,,
453,11/05/14 01:00:00 AM,7.079,0.0,,,,
454,11/05/14 04:00:00 AM,7.079,0.0,,,,
455,11/05/14 07:00:00 AM,7.079,0.0,,,,
456,11/05/14 10:00:00 AM,7.782,13.0,,,,
457,11/05/14 01:00:00 PM,9.472,32.0,,,,
458,11/05/14 04:00:00 PM,9.965,19.0,,,,
459,11/05/14 07:00:00 PM,9.768,0.0,,,,
460,11/05/14 10:00:00 PM,9.965,0.0,,,,
461,11/06/14 01:00:00 AM,9.965,0.0,,,,
462,11/06/14 04:00:00 AM,10.161,0.0,,,,
463,11/06/14 07:00:00 AM,10.846,0.0,,,,
464,11/06/14 10:00:00 AM,10.651,4.0,,,,
465,11/06/14 01:00:00 PM,10.357,58.0,,,,
466,11/06/14 04:00:00 PM,9.571,14.0,,,,
467,11/06/14 07:00:00 PM,8.779,0.0,,,,
468,11/06/14 10:00:00 PM,7.882,0.0,,,,
469,11/07/14 01:00:00 AM,6.978,0.0,,,,
470,11/07/14 04:00:00 AM,6.370,0.0,,,,
