"Plot Title: TO04-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574901, SEN S/N: 10574901, LBL: C)","Intensity, lum/ft² (LGR S/N: 10574901, SEN S/N: 10574901, LBL: Lux)","Coupler Attached (LGR S/N: 10574901)","Host Connected (LGR S/N: 10574901)","Coupler Detached (LGR S/N: 10574901)","Stopped (LGR S/N: 10574901)","End Of File (LGR S/N: 10574901)"
1,09/09/14 01:00:00 PM,12.980,128.0,,,,,
2,09/09/14 04:00:01 PM,14.421,136.0,,,,,
3,09/09/14 07:00:02 PM,14.421,12.0,,,,,
4,09/09/14 10:00:03 PM,12.207,0.0,,,,,
5,09/10/14 01:00:04 AM,10.553,0.0,,,,,
6,09/10/14 04:00:05 AM,9.768,0.0,,,,,
7,09/10/14 07:00:06 AM,9.275,2.0,,,,,
8,09/10/14 10:00:07 AM,10.651,114.0,,,,,
9,09/10/14 01:00:08 PM,17.094,384.0,,,,,
10,09/10/14 04:00:09 PM,15.187,99.0,,,,,
11,09/10/14 07:00:10 PM,14.134,7.0,,,,,
12,09/10/14 10:00:11 PM,12.207,0.0,,,,,
13,09/11/14 01:00:12 AM,10.651,0.0,,,,,
14,09/11/14 04:00:13 AM,9.472,0.0,,,,,
15,09/11/14 07:00:14 AM,8.481,2.0,,,,,
16,09/11/14 10:00:15 AM,9.866,125.0,,,,,
17,09/11/14 01:00:16 PM,16.713,400.0,,,,,
18,09/11/14 04:00:17 PM,14.613,104.0,,,,,
19,09/11/14 07:00:18 PM,12.883,7.0,,,,,
20,09/11/14 10:00:19 PM,10.063,0.0,,,,,
21,09/12/14 01:00:20 AM,8.978,0.0,,,,,
22,09/12/14 04:00:21 AM,8.082,0.0,,,,,
23,09/12/14 07:00:22 AM,6.877,3.0,,,,,
24,09/12/14 10:00:23 AM,9.275,122.0,,,,,
25,09/12/14 01:00:24 PM,18.331,384.0,,,,,
26,09/12/14 04:00:25 PM,15.951,100.0,,,,,
27,09/12/14 07:00:26 PM,14.517,6.0,,,,,
28,09/12/14 10:00:27 PM,11.625,0.0,,,,,
29,09/13/14 01:00:28 AM,9.571,0.0,,,,,
30,09/13/14 04:00:29 AM,8.282,0.0,,,,,
31,09/13/14 07:00:30 AM,7.983,3.0,,,,,
32,09/13/14 10:00:31 AM,10.357,126.0,,,,,
33,09/13/14 01:00:32 PM,18.711,368.0,,,,,
34,09/13/14 04:00:33 PM,17.189,102.0,,,,,
35,09/13/14 07:00:34 PM,15.282,5.0,,,,,
36,09/13/14 10:00:35 PM,12.304,0.0,,,,,
37,09/14/14 01:00:36 AM,10.357,0.0,,,,,
38,09/14/14 04:00:37 AM,8.978,0.0,,,,,
39,09/14/14 07:00:38 AM,8.382,2.0,,,,,
40,09/14/14 10:00:39 AM,10.748,127.0,,,,,
41,09/14/14 01:00:40 PM,19.187,352.0,,,,,
42,09/14/14 04:00:41 PM,18.996,102.0,,,,,
43,09/14/14 07:00:42 PM,16.332,7.0,,,,,
44,09/14/14 10:00:43 PM,13.365,0.0,,,,,
45,09/15/14 01:00:44 AM,11.722,0.0,,,,,
46,09/15/14 04:00:45 AM,11.041,0.0,,,,,
47,09/15/14 07:00:46 AM,10.161,3.0,,,,,
48,09/15/14 10:00:47 AM,12.304,144.0,,,,,
49,09/15/14 01:00:48 PM,21.187,336.0,,,,,
50,09/15/14 04:00:49 PM,19.948,116.0,,,,,
51,09/15/14 07:00:50 PM,18.045,8.0,,,,,
52,09/15/14 10:00:51 PM,15.664,0.0,,,,,
53,09/16/14 01:00:52 AM,14.038,0.0,,,,,
54,09/16/14 04:00:53 AM,13.365,0.0,,,,,
55,09/16/14 07:00:54 AM,13.269,2.0,,,,,
56,09/16/14 10:00:55 AM,14.421,152.0,,,,,
57,09/16/14 01:00:56 PM,17.760,304.0,,,,,
58,09/16/14 04:00:57 PM,17.665,168.0,,,,,
59,09/16/14 07:00:58 PM,16.427,5.0,,,,,
60,09/16/14 10:00:59 PM,14.517,0.0,,,,,
61,09/17/14 01:01:00 AM,13.750,0.0,,,,,
62,09/17/14 04:01:01 AM,13.750,0.0,,,,,
63,09/17/14 07:01:02 AM,13.365,6.0,,,,,
64,09/17/14 10:01:03 AM,14.804,95.0,,,,,
65,09/17/14 01:01:04 PM,17.570,200.0,,,,,
66,09/17/14 04:01:05 PM,18.140,144.0,,,,,
67,09/17/14 07:01:06 PM,16.618,1.0,,,,,
68,09/17/14 10:01:07 PM,15.473,0.0,,,,,
69,09/18/14 01:01:08 AM,14.709,0.0,,,,,
70,09/18/14 04:01:09 AM,14.230,0.0,,,,,
71,09/18/14 07:01:10 AM,14.134,0.0,,,,,
72,09/18/14 10:01:11 AM,14.038,37.0,,,,,
73,09/18/14 01:01:12 PM,14.709,176.0,,,,,
74,09/18/14 04:01:13 PM,14.421,102.0,,,,,
75,09/18/14 07:01:14 PM,13.942,0.0,,,,,
76,09/18/14 10:01:15 PM,13.654,0.0,,,,,
77,09/19/14 01:01:16 AM,13.461,0.0,,,,,
78,09/19/14 04:01:17 AM,13.269,0.0,,,,,
79,09/19/14 07:01:18 AM,13.076,2.0,,,,,
80,09/19/14 10:01:19 AM,14.325,152.0,,,,,
81,09/19/14 01:01:20 PM,16.713,368.0,,,,,
82,09/19/14 04:01:21 PM,16.903,110.0,,,,,
83,09/19/14 07:01:22 PM,15.855,2.0,,,,,
84,09/19/14 10:01:23 PM,13.846,0.0,,,,,
85,09/20/14 01:01:24 AM,12.207,0.0,,,,,
86,09/20/14 04:01:25 AM,11.139,0.0,,,,,
87,09/20/14 07:01:26 AM,10.553,1.0,,,,,
88,09/20/14 10:01:27 AM,12.013,111.0,,,,,
89,09/20/14 01:01:28 PM,19.092,336.0,,,,,
90,09/20/14 04:01:29 PM,20.710,89.0,,,,,
91,09/20/14 07:01:30 PM,18.140,2.0,,,,,
92,09/20/14 10:01:31 PM,16.046,0.0,,,,,
93,09/21/14 01:01:32 AM,14.996,0.0,,,,,
94,09/21/14 04:01:33 AM,14.325,0.0,,,,,
95,09/21/14 07:01:34 AM,13.461,2.0,,,,,
96,09/21/14 10:01:35 AM,14.804,119.0,,,,,
97,09/21/14 01:01:36 PM,20.519,384.0,,,,,
98,09/21/14 04:01:37 PM,20.615,99.0,,,,,
99,09/21/14 07:01:38 PM,19.377,1.0,,,,,
100,09/21/14 10:01:39 PM,17.094,0.0,,,,,
101,09/22/14 01:01:40 AM,15.569,0.0,,,,,
102,09/22/14 04:01:41 AM,14.613,0.0,,,,,
103,09/22/14 07:01:42 AM,14.134,0.0,,,,,
104,09/22/14 10:01:43 AM,14.996,102.0,,,,,
105,09/22/14 01:01:44 PM,17.760,288.0,,,,,
106,09/22/14 04:01:45 PM,17.284,248.0,,,,,
107,09/22/14 07:01:46 PM,16.332,1.0,,,,,
108,09/22/14 10:01:47 PM,14.900,0.0,,,,,
109,09/23/14 01:01:48 AM,13.942,0.0,,,,,
110,09/23/14 04:01:49 AM,13.269,0.0,,,,,
111,09/23/14 07:01:50 AM,12.883,3.0,,,,,
112,09/23/14 10:01:51 AM,13.750,19.0,,,,,
113,09/23/14 01:01:52 PM,15.378,91.0,,,,,
114,09/23/14 04:01:53 PM,14.900,60.0,,,,,
115,09/23/14 07:01:54 PM,14.134,0.0,,,,,
116,09/23/14 10:01:55 PM,13.942,0.0,,,,,
117,09/24/14 01:01:56 AM,14.421,0.0,,,,,
118,09/24/14 04:01:57 AM,13.942,0.0,,,,,
119,09/24/14 07:01:58 AM,13.173,0.0,,,,,
120,09/24/14 10:01:59 AM,13.173,49.0,,,,,
121,09/24/14 01:02:00 PM,13.365,50.0,,,,,
122,09/24/14 04:02:01 PM,13.846,125.0,,,,,
123,09/24/14 07:02:02 PM,13.173,2.0,,,,,
124,09/24/14 10:02:03 PM,12.304,0.0,,,,,
125,09/25/14 01:02:04 AM,12.304,0.0,,,,,
126,09/25/14 04:02:05 AM,12.013,0.0,,,,,
127,09/25/14 07:02:06 AM,11.625,0.0,,,,,
128,09/25/14 10:02:07 AM,12.497,64.0,,,,,
129,09/25/14 01:02:08 PM,14.038,288.0,,,,,
130,09/25/14 04:02:09 PM,13.654,118.0,,,,,
131,09/25/14 07:02:10 PM,12.690,0.0,,,,,
132,09/25/14 10:02:11 PM,11.431,0.0,,,,,
133,09/26/14 01:02:12 AM,11.236,0.0,,,,,
134,09/26/14 04:02:13 AM,11.139,0.0,,,,,
135,09/26/14 07:02:14 AM,11.041,0.0,,,,,
136,09/26/14 10:02:15 AM,11.334,90.0,,,,,
137,09/26/14 01:02:16 PM,12.110,123.0,,,,,
138,09/26/14 04:02:17 PM,12.690,100.0,,,,,
139,09/26/14 07:02:18 PM,12.401,0.0,,,,,
140,09/26/14 10:02:19 PM,12.013,0.0,,,,,
141,09/27/14 01:02:20 AM,11.139,0.0,,,,,
142,09/27/14 04:02:21 AM,10.846,0.0,,,,,
143,09/27/14 07:02:22 AM,9.866,0.0,,,,,
144,09/27/14 10:02:23 AM,9.965,77.0,,,,,
145,09/27/14 01:02:24 PM,12.594,320.0,,,,,
146,09/27/14 04:02:25 PM,12.980,65.0,,,,,
147,09/27/14 07:02:26 PM,12.497,2.0,,,,,
148,09/27/14 10:02:27 PM,12.207,0.0,,,,,
149,09/28/14 01:02:28 AM,11.916,0.0,,,,,
150,09/28/14 04:02:29 AM,10.846,0.0,,,,,
151,09/28/14 07:02:30 AM,9.176,0.0,,,,,
152,09/28/14 10:02:31 AM,9.866,78.0,,,,,
153,09/28/14 01:02:32 PM,13.461,224.0,,,,,
154,09/28/14 04:02:33 PM,14.134,63.0,,,,,
155,09/28/14 07:02:34 PM,13.461,0.0,,,,,
156,09/28/14 10:02:35 PM,11.819,0.0,,,,,
157,09/29/14 01:02:36 AM,10.553,0.0,,,,,
158,09/29/14 04:02:37 AM,9.669,0.0,,,,,
159,09/29/14 07:02:38 AM,8.978,0.0,,,,,
160,09/29/14 10:02:39 AM,10.553,160.0,,,,,
161,09/29/14 01:02:40 PM,12.690,114.0,,,,,
162,09/29/14 04:02:41 PM,12.304,76.0,,,,,
163,09/29/14 07:02:42 PM,12.110,0.0,,,,,
164,09/29/14 10:02:43 PM,10.259,0.0,,,,,
165,09/30/14 01:02:44 AM,9.669,0.0,,,,,
166,09/30/14 04:02:45 AM,9.669,0.0,,,,,
167,09/30/14 07:02:46 AM,9.472,0.0,,,,,
168,09/30/14 10:02:47 AM,9.866,66.0,,,,,
169,09/30/14 01:02:48 PM,10.357,71.0,,,,,
170,09/30/14 04:02:49 PM,10.651,23.0,,,,,
171,09/30/14 07:02:50 PM,9.866,0.0,,,,,
172,09/30/14 10:02:51 PM,9.866,0.0,,,,,
173,10/01/14 01:02:52 AM,9.472,0.0,,,,,
174,10/01/14 04:02:53 AM,8.382,0.0,,,,,
175,10/01/14 07:02:54 AM,7.882,0.0,,,,,
176,10/01/14 10:02:55 AM,8.680,82.0,,,,,
177,10/01/14 01:02:56 PM,10.063,168.0,,,,,
178,10/01/14 04:02:57 PM,10.553,93.0,,,,,
179,10/01/14 07:02:58 PM,9.571,0.0,,,,,
180,10/01/14 10:02:59 PM,7.882,0.0,,,,,
181,10/02/14 01:03:00 AM,7.882,0.0,,,,,
182,10/02/14 04:03:01 AM,6.877,0.0,,,,,
183,10/02/14 07:03:02 AM,5.962,0.0,,,,,
184,10/02/14 10:03:03 AM,6.471,64.0,,,,,
185,10/02/14 01:03:04 PM,9.965,224.0,,,,,
186,10/02/14 04:03:05 PM,10.944,64.0,,,,,
187,10/02/14 07:03:06 PM,10.259,0.0,,,,,
188,10/02/14 10:03:07 PM,8.978,0.0,,,,,
189,10/03/14 01:03:08 AM,7.983,0.0,,,,,
190,10/03/14 04:03:09 AM,7.381,0.0,,,,,
191,10/03/14 07:03:10 AM,7.381,0.0,,,,,
192,10/03/14 10:03:11 AM,8.581,63.0,,,,,
193,10/03/14 01:03:12 PM,13.558,168.0,,,,,
194,10/03/14 04:03:13 PM,13.846,61.0,,,,,
195,10/03/14 07:03:14 PM,12.787,0.0,,,,,
196,10/03/14 10:03:15 PM,11.334,0.0,,,,,
197,10/04/14 01:03:16 AM,10.161,0.0,,,,,
198,10/04/14 04:03:17 AM,9.571,0.0,,,,,
199,10/04/14 07:03:18 AM,9.768,0.0,,,,,
200,10/04/14 10:03:19 AM,10.944,58.0,,,,,
201,10/04/14 01:03:20 PM,13.750,216.0,,,,,
202,10/04/14 04:03:21 PM,13.942,62.0,,,,,
203,10/04/14 07:03:22 PM,13.173,0.0,,,,,
204,10/04/14 10:03:23 PM,11.819,0.0,,,,,
205,10/05/14 01:03:24 AM,10.748,0.0,,,,,
206,10/05/14 04:03:25 AM,10.063,0.0,,,,,
207,10/05/14 07:03:26 AM,9.768,0.0,,,,,
208,10/05/14 10:03:27 AM,10.651,58.0,,,,,
209,10/05/14 01:03:28 PM,14.517,160.0,,,,,
210,10/05/14 04:03:29 PM,15.473,54.0,,,,,
211,10/05/14 07:03:30 PM,14.613,0.0,,,,,
212,10/05/14 10:03:31 PM,13.173,0.0,,,,,
213,10/06/14 01:03:32 AM,12.110,0.0,,,,,
214,10/06/14 04:03:33 AM,11.528,0.0,,,,,
215,10/06/14 07:03:34 AM,10.944,0.0,,,,,
216,10/06/14 10:03:35 AM,11.431,55.0,,,,,
217,10/06/14 01:03:36 PM,14.804,144.0,,,,,
218,10/06/14 04:03:37 PM,16.141,52.0,,,,,
219,10/06/14 07:03:38 PM,15.378,0.0,,,,,
220,10/06/14 10:03:39 PM,13.942,0.0,,,,,
221,10/07/14 01:03:40 AM,12.690,0.0,,,,,
222,10/07/14 04:03:41 AM,11.916,0.0,,,,,
223,10/07/14 07:03:42 AM,11.236,0.0,,,,,
224,10/07/14 10:03:43 AM,11.528,56.0,,,,,
225,10/07/14 01:03:44 PM,15.378,144.0,,,,,
226,10/07/14 04:03:45 PM,16.141,53.0,,,,,
227,10/07/14 07:03:46 PM,15.378,0.0,,,,,
228,10/07/14 10:03:47 PM,13.750,0.0,,,,,
229,10/08/14 01:03:48 AM,12.883,0.0,,,,,
230,10/08/14 04:03:49 AM,12.401,0.0,,,,,
231,10/08/14 07:03:50 AM,11.625,0.0,,,,,
232,10/08/14 10:03:51 AM,12.207,97.0,,,,,
233,10/08/14 01:03:52 PM,14.134,152.0,,,,,
234,10/08/14 04:03:53 PM,14.230,53.0,,,,,
235,10/08/14 07:03:54 PM,13.750,0.0,,,,,
236,10/08/14 10:03:55 PM,12.497,0.0,,,,,
237,10/09/14 01:03:56 AM,10.748,0.0,,,,,
238,10/09/14 04:03:57 AM,9.669,0.0,,,,,
239,10/09/14 07:03:58 AM,8.779,0.0,,,,,
240,10/09/14 10:03:59 AM,9.275,79.0,,,,,
241,10/09/14 01:04:00 PM,12.883,136.0,,,,,
242,10/09/14 04:04:01 PM,14.421,56.0,,,,,
243,10/09/14 07:04:02 PM,13.269,0.0,,,,,
244,10/09/14 10:04:03 PM,11.528,0.0,,,,,
245,10/10/14 01:04:04 AM,10.259,0.0,,,,,
246,10/10/14 04:04:05 AM,9.275,0.0,,,,,
247,10/10/14 07:04:06 AM,8.481,0.0,,,,,
248,10/10/14 10:04:07 AM,9.077,59.0,,,,,
249,10/10/14 01:04:08 PM,13.558,192.0,,,,,
250,10/10/14 04:04:09 PM,14.134,80.0,,,,,
251,10/10/14 07:04:10 PM,13.173,0.0,,,,,
252,10/10/14 10:04:11 PM,12.594,0.0,,,,,
253,10/11/14 01:04:12 AM,11.334,0.0,,,,,
254,10/11/14 04:04:13 AM,11.139,0.0,,,,,
255,10/11/14 07:04:14 AM,10.944,0.0,,,,,
256,10/11/14 10:04:15 AM,10.553,128.0,,,,,
257,10/11/14 01:04:16 PM,11.431,58.0,,,,,
258,10/11/14 04:04:17 PM,9.768,17.0,,,,,
259,10/11/14 07:04:18 PM,10.357,0.0,,,,,
260,10/11/14 10:04:19 PM,10.161,0.0,,,,,
261,10/12/14 01:04:20 AM,9.965,0.0,,,,,
262,10/12/14 04:04:21 AM,9.768,0.0,,,,,
263,10/12/14 07:04:22 AM,9.275,0.0,,,,,
264,10/12/14 10:04:23 AM,9.768,55.0,,,,,
265,10/12/14 01:04:24 PM,10.846,136.0,,,,,
266,10/12/14 04:04:25 PM,11.236,79.0,,,,,
267,10/12/14 07:04:26 PM,10.651,0.0,,,,,
268,10/12/14 10:04:27 PM,10.259,0.0,,,,,
269,10/13/14 01:04:28 AM,9.965,0.0,,,,,
270,10/13/14 04:04:29 AM,9.275,0.0,,,,,
271,10/13/14 07:04:30 AM,8.182,0.0,,,,,
272,10/13/14 10:04:31 AM,9.176,81.0,,,,,
273,10/13/14 01:04:32 PM,12.497,176.0,,,,,
274,10/13/14 04:04:33 PM,12.497,24.0,,,,,
275,10/13/14 07:04:34 PM,11.722,0.0,,,,,
276,10/13/14 10:04:35 PM,12.110,0.0,,,,,
277,10/14/14 01:04:36 AM,9.965,0.0,,,,,
278,10/14/14 04:04:37 AM,9.275,0.0,,,,,
279,10/14/14 07:04:38 AM,8.978,0.0,,,,,
280,10/14/14 10:04:39 AM,9.472,79.0,,,,,
281,10/14/14 01:04:40 PM,11.041,200.0,,,,,
282,10/14/14 04:04:41 PM,10.944,59.0,,,,,
283,10/14/14 07:04:42 PM,10.357,0.0,,,,,
284,10/14/14 10:04:43 PM,9.965,0.0,,,,,
285,10/15/14 01:04:44 AM,9.669,0.0,,,,,
286,10/15/14 04:04:45 AM,9.373,0.0,,,,,
287,10/15/14 07:04:46 AM,9.176,0.0,,,,,
288,10/15/14 10:04:47 AM,9.176,46.0,,,,,
289,10/15/14 01:04:48 PM,8.779,40.0,,,,,
290,10/15/14 04:04:49 PM,9.077,71.0,,,,,
291,10/15/14 07:04:50 PM,8.481,0.0,,,,,
292,10/15/14 10:04:51 PM,8.282,0.0,,,,,
293,10/16/14 01:04:52 AM,8.282,0.0,,,,,
294,10/16/14 04:04:53 AM,8.082,0.0,,,,,
295,10/16/14 07:04:54 AM,7.882,0.0,,,,,
296,10/16/14 10:04:55 AM,8.382,52.0,,,,,
297,10/16/14 01:04:56 PM,9.472,115.0,,,,,
298,10/16/14 04:04:57 PM,9.965,34.0,,,,,
299,10/16/14 07:04:58 PM,8.879,0.0,,,,,
300,10/16/14 10:04:59 PM,7.983,0.0,,,,,
301,10/17/14 01:05:00 AM,8.182,0.0,,,,,
302,10/17/14 04:05:01 AM,8.581,0.0,,,,,
303,10/17/14 07:05:02 AM,8.581,0.0,,,,,
304,10/17/14 10:05:03 AM,9.176,24.0,,,,,
305,10/17/14 01:05:04 PM,10.063,56.0,,,,,
306,10/17/14 04:05:05 PM,10.259,20.0,,,,,
307,10/17/14 07:05:06 PM,10.259,0.0,,,,,
308,10/17/14 10:05:07 PM,10.259,0.0,,,,,
309,10/18/14 01:05:08 AM,10.357,0.0,,,,,
310,10/18/14 04:05:09 AM,10.455,0.0,,,,,
311,10/18/14 07:05:10 AM,10.455,0.0,,,,,
312,10/18/14 10:05:11 AM,11.334,136.0,,,,,
313,10/18/14 01:05:12 PM,12.594,66.0,,,,,
314,10/18/14 04:05:13 PM,12.883,29.0,,,,,
315,10/18/14 07:05:14 PM,12.110,0.0,,,,,
316,10/18/14 10:05:15 PM,10.944,0.0,,,,,
317,10/19/14 01:05:16 AM,10.553,0.0,,,,,
318,10/19/14 04:05:17 AM,10.161,0.0,,,,,
319,10/19/14 07:05:18 AM,10.063,0.0,,,,,
320,10/19/14 10:05:19 AM,10.944,52.0,,,,,
321,10/19/14 01:05:20 PM,12.883,208.0,,,,,
322,10/19/14 04:05:21 PM,13.365,40.0,,,,,
323,10/19/14 07:05:22 PM,12.304,0.0,,,,,
324,10/19/14 10:05:23 PM,11.139,0.0,,,,,
325,10/20/14 01:05:24 AM,10.846,0.0,,,,,
326,10/20/14 04:05:25 AM,11.139,0.0,,,,,
327,10/20/14 07:05:26 AM,11.236,0.0,,,,,
328,10/20/14 10:05:27 AM,11.139,40.0,,,,,
329,10/20/14 01:05:28 PM,11.625,15.0,,,,,
330,10/20/14 04:05:29 PM,11.236,124.0,,,,,
331,10/20/14 07:05:30 PM,10.259,0.0,,,,,
332,10/20/14 10:05:31 PM,9.866,0.0,,,,,
333,10/21/14 01:05:32 AM,9.571,0.0,,,,,
334,10/21/14 04:05:33 AM,9.275,0.0,,,,,
335,10/21/14 07:05:34 AM,9.077,0.0,,,,,
336,10/21/14 10:05:35 AM,9.571,60.0,,,,,
337,10/21/14 01:05:36 PM,9.472,40.0,,,,,
338,10/21/14 04:05:37 PM,9.472,18.0,,,,,
339,10/21/14 07:05:38 PM,9.275,0.0,,,,,
340,10/21/14 10:05:39 PM,9.176,0.0,,,,,
341,10/22/14 01:05:40 AM,9.077,0.0,,,,,
342,10/22/14 04:05:41 AM,9.077,0.0,,,,,
343,10/22/14 07:05:42 AM,9.669,0.0,,,,,
344,10/22/14 10:05:43 AM,9.965,20.0,,,,,
345,10/22/14 01:05:44 PM,10.161,22.0,,,,,
346,10/22/14 04:05:45 PM,9.965,27.0,,,,,
347,10/22/14 07:05:46 PM,9.669,0.0,,,,,
348,10/22/14 10:05:47 PM,9.571,0.0,,,,,
349,10/23/14 01:05:48 AM,8.879,0.0,,,,,
350,10/23/14 04:05:49 AM,8.382,0.0,,,,,
351,10/23/14 07:05:50 AM,7.481,0.0,,,,,
352,10/23/14 10:05:51 AM,7.481,14.0,,,,,
353,10/23/14 01:05:52 PM,8.182,78.0,,,,,
354,10/23/14 04:05:53 PM,8.082,41.0,,,,,
355,10/23/14 07:05:54 PM,7.179,0.0,,,,,
356,10/23/14 10:05:55 PM,6.877,0.0,,,,,
357,10/24/14 01:05:56 AM,6.877,0.0,,,,,
358,10/24/14 04:05:57 AM,6.978,0.0,,,,,
359,10/24/14 07:05:58 AM,6.166,0.0,,,,,
360,10/24/14 10:05:59 AM,6.877,110.0,,,,,
361,10/24/14 01:06:00 PM,8.382,160.0,,,,,
362,10/24/14 04:06:01 PM,8.282,21.0,,,,,
363,10/24/14 07:06:02 PM,7.882,0.0,,,,,
364,10/24/14 10:06:03 PM,7.481,0.0,,,,,
365,10/25/14 01:06:04 AM,7.381,0.0,,,,,
366,10/25/14 04:06:05 AM,7.682,0.0,,,,,
367,10/25/14 07:06:06 AM,7.682,0.0,,,,,
368,10/25/14 10:06:07 AM,8.481,37.0,,,,,
369,10/25/14 01:06:08 PM,9.965,77.0,,,,,
370,10/25/14 04:06:09 PM,9.768,63.0,,,,,
371,10/25/14 07:06:10 PM,9.472,0.0,,,,,
372,10/25/14 10:06:11 PM,7.582,0.0,,,,,
373,10/26/14 01:06:12 AM,6.674,0.0,,,,,
374,10/26/14 04:06:13 AM,5.450,0.0,,,,,
375,10/26/14 07:06:14 AM,4.934,0.0,,,,,
376,10/26/14 10:06:15 AM,4.831,39.0,,,,,
377,10/26/14 01:06:16 PM,5.655,136.0,,,,,
378,10/26/14 04:06:17 PM,6.674,184.0,,,,,
379,10/26/14 07:06:18 PM,6.166,0.0,,,,,
380,10/26/14 10:06:19 PM,6.166,0.0,,,,,
381,10/27/14 01:06:20 AM,5.655,0.0,,,,,
382,10/27/14 04:06:21 AM,4.727,0.0,,,,,
383,10/27/14 07:06:22 AM,3.893,0.0,,,,,
384,10/27/14 10:06:23 AM,4.519,87.0,,,,,
385,10/27/14 01:06:24 PM,6.268,192.0,,,,,
386,10/27/14 04:06:25 PM,6.573,55.0,,,,,
387,10/27/14 07:06:26 PM,6.471,0.0,,,,,
388,10/27/14 10:06:27 PM,6.370,0.0,,,,,
389,10/28/14 01:06:28 AM,6.573,0.0,,,,,
390,10/28/14 04:06:29 AM,6.775,0.0,,,,,
391,10/28/14 07:06:30 AM,7.079,0.0,,,,,
392,10/28/14 10:06:31 AM,7.582,35.0,,,,,
393,10/28/14 01:06:32 PM,8.978,152.0,,,,,
394,10/28/14 04:06:33 PM,9.077,42.0,,,,,
395,10/28/14 07:06:34 PM,8.879,0.0,,,,,
396,10/28/14 10:06:35 PM,8.779,0.0,,,,,
397,10/29/14 01:06:36 AM,8.779,0.0,,,,,
398,10/29/14 04:06:37 AM,8.680,0.0,,,,,
399,10/29/14 07:06:38 AM,8.581,0.0,,,,,
400,10/29/14 10:06:39 AM,8.978,88.0,,,,,
401,10/29/14 01:06:40 PM,9.472,152.0,,,,,
402,10/29/14 04:06:41 PM,9.768,87.0,,,,,
403,10/29/14 07:06:42 PM,8.879,0.0,,,,,
404,10/29/14 10:06:43 PM,8.581,0.0,,,,,
405,10/30/14 01:06:44 AM,8.680,0.0,,,,,
406,10/30/14 04:06:45 AM,8.978,0.0,,,,,
407,10/30/14 07:06:46 AM,9.176,0.0,,,,,
408,10/30/14 10:06:47 AM,9.472,22.0,,,,,
409,10/30/14 01:06:48 PM,10.455,66.0,,,,,
410,10/30/14 04:06:49 PM,10.748,41.0,,,,,
411,10/30/14 07:06:50 PM,10.357,0.0,,,,,
412,10/30/14 10:06:51 PM,10.063,0.0,,,,,
413,10/31/14 01:06:52 AM,9.866,0.0,,,,,
414,10/31/14 04:06:53 AM,9.472,0.0,,,,,
415,10/31/14 07:06:54 AM,9.275,0.0,,,,,
416,10/31/14 10:06:55 AM,8.182,11.0,,,,,
417,10/31/14 01:06:56 PM,8.282,144.0,,,,,
418,10/31/14 04:06:57 PM,8.282,128.0,,,,,
419,10/31/14 07:06:58 PM,7.682,0.0,,,,,
420,10/31/14 10:06:59 PM,7.179,0.0,,,,,
421,11/01/14 01:07:00 AM,6.370,0.0,,,,,
422,11/01/14 04:07:01 AM,5.450,0.0,,,,,
423,11/01/14 07:07:02 AM,5.244,0.0,,,,,
424,11/01/14 10:07:03 AM,5.860,45.0,,,,,
425,11/01/14 01:07:04 PM,6.471,62.0,,,,,
426,11/01/14 04:07:05 PM,6.877,62.0,,,,,
427,11/01/14 07:07:06 PM,5.655,0.0,,,,,
428,11/01/14 10:07:07 PM,5.757,0.0,,,,,
429,11/02/14 01:07:08 AM,5.655,0.0,,,,,
430,11/02/14 04:07:09 AM,5.757,0.0,,,,,
431,11/02/14 07:07:10 AM,5.347,0.0,,,,,
432,11/02/14 10:07:11 AM,5.552,41.0,,,,,
433,11/02/14 01:07:12 PM,6.978,117.0,,,,,
434,11/02/14 04:07:13 PM,7.280,23.0,,,,,
435,11/02/14 07:07:14 PM,6.978,0.0,,,,,
436,11/02/14 10:07:15 PM,6.877,0.0,,,,,
437,11/03/14 01:07:16 AM,6.775,0.0,,,,,
438,11/03/14 04:07:17 AM,6.775,0.0,,,,,
439,11/03/14 07:07:18 AM,6.877,0.0,,,,,
440,11/03/14 10:07:19 AM,7.280,28.0,,,,,
441,11/03/14 01:07:20 PM,8.282,120.0,,,,,
442,11/03/14 04:07:21 PM,8.581,21.0,,,,,
443,11/03/14 07:07:22 PM,8.382,0.0,,,,,
444,11/03/14 10:07:23 PM,8.282,0.0,,,,,
445,11/04/14 01:07:24 AM,8.282,0.0,,,,,
446,11/04/14 04:07:25 AM,8.481,0.0,,,,,
447,11/04/14 07:07:26 AM,8.382,0.0,,,,,
448,11/04/14 10:07:27 AM,8.481,23.0,,,,,
449,11/04/14 01:07:28 PM,9.472,184.0,,,,,
450,11/04/14 04:07:29 PM,9.669,18.0,,,,,
451,11/04/14 07:07:30 PM,8.879,0.0,,,,,
452,11/04/14 10:07:31 PM,8.082,0.0,,,,,
453,11/05/14 01:07:32 AM,7.179,0.0,,,,,
454,11/05/14 04:07:33 AM,7.280,0.0,,,,,
455,11/05/14 07:07:34 AM,7.280,0.0,,,,,
456,11/05/14 10:07:35 AM,7.983,40.0,,,,,
457,11/05/14 01:07:36 PM,9.571,78.0,,,,,
458,11/05/14 04:07:37 PM,9.866,33.0,,,,,
459,11/05/14 07:07:38 PM,9.768,0.0,,,,,
