"Plot Title: TO04-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574904, SEN S/N: 10574904)","Intensity, lum/ft² (LGR S/N: 10574904, SEN S/N: 10574904)","Coupler Attached (LGR S/N: 10574904)","Host Connected (LGR S/N: 10574904)","Stopped (LGR S/N: 10574904)","End Of File (LGR S/N: 10574904)"
1,09/09/14 01:00:00 PM,12.594,128.0,,,,
2,09/09/14 04:00:00 PM,13.750,152.0,,,,
3,09/09/14 07:00:00 PM,13.654,10.0,,,,
4,09/09/14 10:00:00 PM,11.916,0.0,,,,
5,09/10/14 01:00:00 AM,10.553,0.0,,,,
6,09/10/14 04:00:00 AM,9.768,0.0,,,,
7,09/10/14 07:00:00 AM,9.373,2.0,,,,
8,09/10/14 10:00:00 AM,10.357,79.0,,,,
9,09/10/14 01:00:00 PM,13.461,168.0,,,,
10,09/10/14 04:00:00 PM,14.038,96.0,,,,
11,09/10/14 07:00:00 PM,13.365,7.0,,,,
12,09/10/14 10:00:00 PM,11.916,0.0,,,,
13,09/11/14 01:00:00 AM,10.455,0.0,,,,
14,09/11/14 04:00:00 AM,9.275,0.0,,,,
15,09/11/14 07:00:00 AM,8.382,2.0,,,,
16,09/11/14 10:00:00 AM,9.373,87.0,,,,
17,09/11/14 01:00:00 PM,11.916,152.0,,,,
18,09/11/14 04:00:00 PM,12.497,100.0,,,,
19,09/11/14 07:00:00 PM,11.722,7.0,,,,
20,09/11/14 10:00:00 PM,9.669,0.0,,,,
21,09/12/14 01:00:00 AM,8.581,0.0,,,,
22,09/12/14 04:00:00 AM,7.882,0.0,,,,
23,09/12/14 07:00:00 AM,6.978,2.0,,,,
24,09/12/14 10:00:00 AM,8.779,83.0,,,,
25,09/12/14 01:00:00 PM,13.076,152.0,,,,
26,09/12/14 04:00:00 PM,14.038,97.0,,,,
27,09/12/14 07:00:00 PM,13.269,6.0,,,,
28,09/12/14 10:00:00 PM,11.139,0.0,,,,
29,09/13/14 01:00:00 AM,9.373,0.0,,,,
30,09/13/14 04:00:00 AM,8.182,0.0,,,,
31,09/13/14 07:00:00 AM,7.782,2.0,,,,
32,09/13/14 10:00:00 AM,9.669,84.0,,,,
33,09/13/14 01:00:00 PM,13.846,152.0,,,,
34,09/13/14 04:00:00 PM,14.996,98.0,,,,
35,09/13/14 07:00:00 PM,13.846,6.0,,,,
36,09/13/14 10:00:00 PM,11.722,0.0,,,,
37,09/14/14 01:00:00 AM,9.965,0.0,,,,
38,09/14/14 04:00:00 AM,8.978,0.0,,,,
39,09/14/14 07:00:00 AM,8.282,2.0,,,,
40,09/14/14 10:00:00 AM,9.965,81.0,,,,
41,09/14/14 01:00:00 PM,14.325,152.0,,,,
42,09/14/14 04:00:00 PM,16.237,97.0,,,,
43,09/14/14 07:00:00 PM,14.709,7.0,,,,
44,09/14/14 10:00:00 PM,12.497,0.0,,,,
45,09/15/14 01:00:00 AM,11.041,0.0,,,,
46,09/15/14 04:00:00 AM,10.455,0.0,,,,
47,09/15/14 07:00:00 AM,9.768,2.0,,,,
48,09/15/14 10:00:00 AM,11.236,97.0,,,,
49,09/15/14 01:00:00 PM,16.237,160.0,,,,
50,09/15/14 04:00:00 PM,17.475,120.0,,,,
51,09/15/14 07:00:00 PM,16.237,8.0,,,,
52,09/15/14 10:00:00 PM,14.517,0.0,,,,
53,09/16/14 01:00:00 AM,13.173,0.0,,,,
54,09/16/14 04:00:00 AM,12.594,0.0,,,,
55,09/16/14 07:00:00 AM,12.497,1.0,,,,
56,09/16/14 10:00:00 AM,13.365,103.0,,,,
57,09/16/14 01:00:00 PM,15.569,240.0,,,,
58,09/16/14 04:00:00 PM,16.427,184.0,,,,
59,09/16/14 07:00:00 PM,15.378,6.0,,,,
60,09/16/14 10:00:00 PM,13.846,0.0,,,,
61,09/17/14 01:00:00 AM,13.269,0.0,,,,
62,09/17/14 04:00:00 AM,13.173,0.0,,,,
63,09/17/14 07:00:00 AM,12.787,4.0,,,,
64,09/17/14 10:00:00 AM,14.038,87.0,,,,
65,09/17/14 01:00:00 PM,15.855,200.0,,,,
66,09/17/14 04:00:00 PM,16.903,160.0,,,,
67,09/17/14 07:00:00 PM,15.664,1.0,,,,
68,09/17/14 10:00:00 PM,14.709,0.0,,,,
69,09/18/14 01:00:00 AM,14.038,0.0,,,,
70,09/18/14 04:00:00 AM,13.654,0.0,,,,
71,09/18/14 07:00:00 AM,13.558,0.0,,,,
72,09/18/14 10:00:00 AM,13.558,37.0,,,,
73,09/18/14 01:00:00 PM,14.325,128.0,,,,
74,09/18/14 04:00:00 PM,14.230,107.0,,,,
75,09/18/14 07:00:00 PM,13.654,0.0,,,,
76,09/18/14 10:00:00 PM,13.365,0.0,,,,
77,09/19/14 01:00:00 AM,13.173,0.0,,,,
78,09/19/14 04:00:00 AM,12.980,0.0,,,,
79,09/19/14 07:00:00 AM,12.787,1.0,,,,
80,09/19/14 10:00:00 AM,13.942,160.0,,,,
81,09/19/14 01:00:00 PM,15.091,192.0,,,,
82,09/19/14 04:00:00 PM,15.951,96.0,,,,
83,09/19/14 07:00:00 PM,14.996,2.0,,,,
84,09/19/14 10:00:00 PM,13.365,0.0,,,,
85,09/20/14 01:00:00 AM,11.916,0.0,,,,
86,09/20/14 04:00:00 AM,10.944,0.0,,,,
87,09/20/14 07:00:00 AM,10.455,1.0,,,,
88,09/20/14 10:00:00 AM,11.431,66.0,,,,
89,09/20/14 01:00:00 PM,15.569,128.0,,,,
90,09/20/14 04:00:00 PM,17.665,83.0,,,,
91,09/20/14 07:00:00 PM,16.523,2.0,,,,
92,09/20/14 10:00:00 PM,14.996,0.0,,,,
93,09/21/14 01:00:00 AM,13.942,0.0,,,,
94,09/21/14 04:00:00 AM,13.461,0.0,,,,
95,09/21/14 07:00:00 AM,12.787,1.0,,,,
96,09/21/14 10:00:00 AM,13.750,72.0,,,,
97,09/21/14 01:00:00 PM,17.284,152.0,,,,
98,09/21/14 04:00:00 PM,18.426,95.0,,,,
99,09/21/14 07:00:00 PM,17.475,1.0,,,,
100,09/21/14 10:00:00 PM,15.951,0.0,,,,
101,09/22/14 01:00:00 AM,14.804,0.0,,,,
102,09/22/14 04:00:00 AM,14.038,0.0,,,,
103,09/22/14 07:00:00 AM,13.654,0.0,,,,
104,09/22/14 10:00:00 AM,14.325,68.0,,,,
105,09/22/14 01:00:00 PM,15.951,176.0,,,,
106,09/22/14 04:00:00 PM,16.332,272.0,,,,
107,09/22/14 07:00:00 PM,15.473,2.0,,,,
108,09/22/14 10:00:00 PM,14.421,0.0,,,,
109,09/23/14 01:00:00 AM,13.558,0.0,,,,
110,09/23/14 04:00:00 AM,12.883,0.0,,,,
111,09/23/14 07:00:00 AM,12.497,2.0,,,,
112,09/23/14 10:00:00 AM,13.269,22.0,,,,
113,09/23/14 01:00:00 PM,14.804,97.0,,,,
114,09/23/14 04:00:00 PM,14.421,87.0,,,,
115,09/23/14 07:00:00 PM,13.846,0.0,,,,
116,09/23/14 10:00:00 PM,13.654,0.0,,,,
117,09/24/14 01:00:00 AM,14.038,0.0,,,,
118,09/24/14 04:00:00 AM,13.750,0.0,,,,
119,09/24/14 07:00:00 AM,13.076,0.0,,,,
120,09/24/14 10:00:00 AM,12.980,55.0,,,,
121,09/24/14 01:00:00 PM,13.269,41.0,,,,
122,09/24/14 04:00:00 PM,13.654,152.0,,,,
123,09/24/14 07:00:00 PM,13.076,4.0,,,,
124,09/24/14 10:00:00 PM,12.401,0.0,,,,
125,09/25/14 01:00:00 AM,12.304,0.0,,,,
126,09/25/14 04:00:00 AM,12.110,0.0,,,,
127,09/25/14 07:00:00 AM,11.722,0.0,,,,
128,09/25/14 10:00:00 AM,12.497,86.0,,,,
129,09/25/14 01:00:00 PM,13.461,256.0,,,,
130,09/25/14 04:00:00 PM,13.461,91.0,,,,
131,09/25/14 07:00:00 PM,12.690,0.0,,,,
132,09/25/14 10:00:00 PM,11.528,0.0,,,,
133,09/26/14 01:00:00 AM,11.334,0.0,,,,
134,09/26/14 04:00:00 AM,11.139,0.0,,,,
135,09/26/14 07:00:00 AM,11.236,0.0,,,,
136,09/26/14 10:00:00 AM,11.528,84.0,,,,
137,09/26/14 01:00:00 PM,12.207,124.0,,,,
138,09/26/14 04:00:00 PM,12.690,105.0,,,,
139,09/26/14 07:00:00 PM,12.304,0.0,,,,
140,09/26/14 10:00:00 PM,12.013,0.0,,,,
141,09/27/14 01:00:00 AM,11.236,0.0,,,,
142,09/27/14 04:00:00 AM,10.846,0.0,,,,
143,09/27/14 07:00:00 AM,10.063,0.0,,,,
144,09/27/14 10:00:00 AM,10.063,58.0,,,,
145,09/27/14 01:00:00 PM,12.690,336.0,,,,
146,09/27/14 04:00:00 PM,12.980,85.0,,,,
147,09/27/14 07:00:00 PM,12.401,3.0,,,,
148,09/27/14 10:00:00 PM,12.207,0.0,,,,
149,09/28/14 01:00:00 AM,11.916,0.0,,,,
150,09/28/14 04:00:00 AM,10.846,0.0,,,,
151,09/28/14 07:00:00 AM,9.472,0.0,,,,
152,09/28/14 10:00:00 AM,9.866,57.0,,,,
153,09/28/14 01:00:00 PM,12.594,152.0,,,,
154,09/28/14 04:00:00 PM,13.558,61.0,,,,
155,09/28/14 07:00:00 PM,13.076,0.0,,,,
156,09/28/14 10:00:00 PM,11.625,0.0,,,,
157,09/29/14 01:00:00 AM,10.455,0.0,,,,
158,09/29/14 04:00:00 AM,9.669,0.0,,,,
159,09/29/14 07:00:00 AM,8.978,0.0,,,,
160,09/29/14 10:00:00 AM,10.455,152.0,,,,
161,09/29/14 01:00:00 PM,12.401,120.0,,,,
162,09/29/14 04:00:00 PM,12.207,105.0,,,,
163,09/29/14 07:00:00 PM,12.013,0.0,,,,
164,09/29/14 10:00:00 PM,10.651,0.0,,,,
165,09/30/14 01:00:00 AM,9.866,0.0,,,,
166,09/30/14 04:00:00 AM,9.768,0.0,,,,
167,09/30/14 07:00:00 AM,9.669,0.0,,,,
168,09/30/14 10:00:00 AM,10.063,105.0,,,,
169,09/30/14 01:00:00 PM,10.651,120.0,,,,
170,09/30/14 04:00:00 PM,10.846,30.0,,,,
171,09/30/14 07:00:00 PM,10.161,0.0,,,,
172,09/30/14 10:00:00 PM,10.161,0.0,,,,
173,10/01/14 01:00:00 AM,9.669,0.0,,,,
174,10/01/14 04:00:00 AM,8.779,0.0,,,,
175,10/01/14 07:00:00 AM,8.282,0.0,,,,
176,10/01/14 10:00:00 AM,8.978,94.0,,,,
177,10/01/14 01:00:00 PM,10.259,168.0,,,,
178,10/01/14 04:00:00 PM,10.846,144.0,,,,
179,10/01/14 07:00:00 PM,9.669,0.0,,,,
180,10/01/14 10:00:00 PM,8.082,0.0,,,,
181,10/02/14 01:00:00 AM,8.082,0.0,,,,
182,10/02/14 04:00:00 AM,7.179,0.0,,,,
183,10/02/14 07:00:00 AM,6.268,0.0,,,,
184,10/02/14 10:00:00 AM,6.674,48.0,,,,
185,10/02/14 01:00:00 PM,9.472,136.0,,,,
186,10/02/14 04:00:00 PM,10.846,67.0,,,,
187,10/02/14 07:00:00 PM,10.259,0.0,,,,
188,10/02/14 10:00:00 PM,8.978,0.0,,,,
189,10/03/14 01:00:00 AM,8.082,0.0,,,,
190,10/03/14 04:00:00 AM,7.481,0.0,,,,
191,10/03/14 07:00:00 AM,7.381,0.0,,,,
192,10/03/14 10:00:00 AM,8.481,47.0,,,,
193,10/03/14 01:00:00 PM,11.722,107.0,,,,
194,10/03/14 04:00:00 PM,12.980,66.0,,,,
195,10/03/14 07:00:00 PM,12.207,0.0,,,,
196,10/03/14 10:00:00 PM,10.944,0.0,,,,
197,10/04/14 01:00:00 AM,9.965,0.0,,,,
198,10/04/14 04:00:00 AM,9.275,0.0,,,,
199,10/04/14 07:00:00 AM,9.571,0.0,,,,
200,10/04/14 10:00:00 AM,10.651,84.0,,,,
201,10/04/14 01:00:00 PM,12.787,160.0,,,,
202,10/04/14 04:00:00 PM,13.558,106.0,,,,
203,10/04/14 07:00:00 PM,12.690,0.0,,,,
204,10/04/14 10:00:00 PM,11.431,0.0,,,,
205,10/05/14 01:00:00 AM,10.455,0.0,,,,
206,10/05/14 04:00:00 AM,9.866,0.0,,,,
207,10/05/14 07:00:00 AM,9.571,0.0,,,,
208,10/05/14 10:00:00 AM,10.259,44.0,,,,
209,10/05/14 01:00:00 PM,13.173,103.0,,,,
210,10/05/14 04:00:00 PM,14.517,59.0,,,,
211,10/05/14 07:00:00 PM,13.750,0.0,,,,
212,10/05/14 10:00:00 PM,12.497,0.0,,,,
213,10/06/14 01:00:00 AM,11.625,0.0,,,,
214,10/06/14 04:00:00 AM,11.041,0.0,,,,
215,10/06/14 07:00:00 AM,10.553,0.0,,,,
216,10/06/14 10:00:00 AM,10.846,43.0,,,,
217,10/06/14 01:00:00 PM,13.365,102.0,,,,
218,10/06/14 04:00:00 PM,14.996,61.0,,,,
219,10/06/14 07:00:00 PM,14.517,0.0,,,,
220,10/06/14 10:00:00 PM,13.173,0.0,,,,
221,10/07/14 01:00:00 AM,12.110,0.0,,,,
222,10/07/14 04:00:00 AM,11.431,0.0,,,,
223,10/07/14 07:00:00 AM,10.748,0.0,,,,
224,10/07/14 10:00:00 AM,11.041,44.0,,,,
225,10/07/14 01:00:00 PM,13.846,104.0,,,,
226,10/07/14 04:00:00 PM,14.996,63.0,,,,
227,10/07/14 07:00:00 PM,14.421,0.0,,,,
228,10/07/14 10:00:00 PM,12.980,0.0,,,,
229,10/08/14 01:00:00 AM,12.207,0.0,,,,
230,10/08/14 04:00:00 AM,11.916,0.0,,,,
231,10/08/14 07:00:00 AM,11.139,0.0,,,,
232,10/08/14 10:00:00 AM,11.722,123.0,,,,
233,10/08/14 01:00:00 PM,13.846,200.0,,,,
234,10/08/14 04:00:00 PM,13.654,65.0,,,,
235,10/08/14 07:00:00 PM,13.173,0.0,,,,
236,10/08/14 10:00:00 PM,12.110,0.0,,,,
237,10/09/14 01:00:00 AM,10.455,0.0,,,,
238,10/09/14 04:00:00 AM,9.373,0.0,,,,
239,10/09/14 07:00:00 AM,8.581,0.0,,,,
240,10/09/14 10:00:00 AM,9.077,66.0,,,,
241,10/09/14 01:00:00 PM,11.625,111.0,,,,
242,10/09/14 04:00:00 PM,13.461,69.0,,,,
243,10/09/14 07:00:00 PM,12.594,0.0,,,,
244,10/09/14 10:00:00 PM,11.139,0.0,,,,
245,10/10/14 01:00:00 AM,9.965,0.0,,,,
246,10/10/14 04:00:00 AM,9.077,0.0,,,,
247,10/10/14 07:00:00 AM,8.382,0.0,,,,
248,10/10/14 10:00:00 AM,8.879,44.0,,,,
249,10/10/14 01:00:00 PM,12.401,208.0,,,,
250,10/10/14 04:00:00 PM,13.654,136.0,,,,
251,10/10/14 07:00:00 PM,12.690,0.0,,,,
252,10/10/14 10:00:00 PM,12.110,0.0,,,,
253,10/11/14 01:00:00 AM,11.139,0.0,,,,
254,10/11/14 04:00:00 AM,10.846,0.0,,,,
255,10/11/14 07:00:00 AM,10.846,0.0,,,,
256,10/11/14 10:00:00 AM,10.259,63.0,,,,
257,10/11/14 01:00:00 PM,11.334,54.0,,,,
258,10/11/14 04:00:00 PM,9.866,16.0,,,,
259,10/11/14 07:00:00 PM,10.259,0.0,,,,
260,10/11/14 10:00:00 PM,10.161,0.0,,,,
261,10/12/14 01:00:00 AM,9.965,0.0,,,,
262,10/12/14 04:00:00 AM,9.768,0.0,,,,
263,10/12/14 07:00:00 AM,9.275,0.0,,,,
264,10/12/14 10:00:00 AM,9.866,72.0,,,,
265,10/12/14 01:00:00 PM,10.846,168.0,,,,
266,10/12/14 04:00:00 PM,11.236,122.0,,,,
267,10/12/14 07:00:00 PM,10.651,0.0,,,,
268,10/12/14 10:00:00 PM,10.161,0.0,,,,
269,10/13/14 01:00:00 AM,9.866,0.0,,,,
270,10/13/14 04:00:00 AM,9.077,0.0,,,,
271,10/13/14 07:00:00 AM,8.082,0.0,,,,
272,10/13/14 10:00:00 AM,9.077,75.0,,,,
273,10/13/14 01:00:00 PM,11.916,160.0,,,,
274,10/13/14 04:00:00 PM,11.916,29.0,,,,
275,10/13/14 07:00:00 PM,11.431,0.0,,,,
276,10/13/14 10:00:00 PM,11.722,0.0,,,,
277,10/14/14 01:00:00 AM,9.965,0.0,,,,
278,10/14/14 04:00:00 AM,9.275,0.0,,,,
279,10/14/14 07:00:00 AM,8.978,0.0,,,,
280,10/14/14 10:00:00 AM,9.571,95.0,,,,
281,10/14/14 01:00:00 PM,11.139,256.0,,,,
282,10/14/14 04:00:00 PM,11.041,102.0,,,,
283,10/14/14 07:00:00 PM,10.357,0.0,,,,
284,10/14/14 10:00:00 PM,9.866,0.0,,,,
285,10/15/14 01:00:00 AM,9.669,0.0,,,,
286,10/15/14 04:00:00 AM,9.373,0.0,,,,
287,10/15/14 07:00:00 AM,9.176,0.0,,,,
288,10/15/14 10:00:00 AM,9.373,60.0,,,,
289,10/15/14 01:00:00 PM,8.779,77.0,,,,
290,10/15/14 04:00:00 PM,9.275,70.0,,,,
291,10/15/14 07:00:00 PM,8.581,0.0,,,,
292,10/15/14 10:00:00 PM,8.382,0.0,,,,
293,10/16/14 01:00:00 AM,8.282,0.0,,,,
294,10/16/14 04:00:00 AM,8.182,0.0,,,,
295,10/16/14 07:00:00 AM,7.983,0.0,,,,
296,10/16/14 10:00:00 AM,8.481,50.0,,,,
297,10/16/14 01:00:00 PM,9.373,94.0,,,,
298,10/16/14 04:00:00 PM,9.768,39.0,,,,
299,10/16/14 07:00:00 PM,8.879,0.0,,,,
300,10/16/14 10:00:00 PM,7.882,0.0,,,,
301,10/17/14 01:00:00 AM,8.182,0.0,,,,
302,10/17/14 04:00:00 AM,8.481,0.0,,,,
303,10/17/14 07:00:00 AM,8.680,0.0,,,,
304,10/17/14 10:00:00 AM,9.176,43.0,,,,
305,10/17/14 01:00:00 PM,10.063,77.0,,,,
306,10/17/14 04:00:00 PM,10.357,38.0,,,,
307,10/17/14 07:00:00 PM,10.259,0.0,,,,
308,10/17/14 10:00:00 PM,10.161,0.0,,,,
309,10/18/14 01:00:00 AM,10.161,0.0,,,,
310,10/18/14 04:00:00 AM,10.259,0.0,,,,
311,10/18/14 07:00:00 AM,10.259,0.0,,,,
312,10/18/14 10:00:00 AM,11.236,168.0,,,,
313,10/18/14 01:00:00 PM,12.594,224.0,,,,
314,10/18/14 04:00:00 PM,12.980,29.0,,,,
315,10/18/14 07:00:00 PM,11.916,0.0,,,,
316,10/18/14 10:00:00 PM,10.651,0.0,,,,
317,10/19/14 01:00:00 AM,10.161,0.0,,,,
318,10/19/14 04:00:00 AM,9.866,0.0,,,,
319,10/19/14 07:00:00 AM,9.669,0.0,,,,
320,10/19/14 10:00:00 AM,10.651,110.0,,,,
321,10/19/14 01:00:00 PM,12.690,192.0,,,,
322,10/19/14 04:00:00 PM,13.269,55.0,,,,
323,10/19/14 07:00:00 PM,11.916,0.0,,,,
324,10/19/14 10:00:00 PM,10.748,0.0,,,,
325,10/20/14 01:00:00 AM,10.455,0.0,,,,
326,10/20/14 04:00:00 AM,10.846,0.0,,,,
327,10/20/14 07:00:00 AM,10.944,0.0,,,,
328,10/20/14 10:00:00 AM,10.846,42.0,,,,
329,10/20/14 01:00:00 PM,11.431,24.0,,,,
330,10/20/14 04:00:00 PM,11.334,136.0,,,,
331,10/20/14 07:00:00 PM,10.259,0.0,,,,
332,10/20/14 10:00:00 PM,9.768,0.0,,,,
333,10/21/14 01:00:00 AM,9.373,0.0,,,,
334,10/21/14 04:00:00 AM,9.176,0.0,,,,
335,10/21/14 07:00:00 AM,9.077,0.0,,,,
336,10/21/14 10:00:00 AM,9.472,94.0,,,,
337,10/21/14 01:00:00 PM,9.373,87.0,,,,
338,10/21/14 04:00:00 PM,9.571,31.0,,,,
339,10/21/14 07:00:00 PM,9.176,0.0,,,,
340,10/21/14 10:00:00 PM,9.077,0.0,,,,
341,10/22/14 01:00:00 AM,8.879,0.0,,,,
342,10/22/14 04:00:00 AM,8.978,0.0,,,,
343,10/22/14 07:00:00 AM,9.472,0.0,,,,
344,10/22/14 10:00:00 AM,9.866,27.0,,,,
345,10/22/14 01:00:00 PM,10.161,26.0,,,,
346,10/22/14 04:00:00 PM,9.965,32.0,,,,
347,10/22/14 07:00:00 PM,9.669,0.0,,,,
348,10/22/14 10:00:00 PM,9.472,0.0,,,,
349,10/23/14 01:00:00 AM,8.779,0.0,,,,
350,10/23/14 04:00:00 AM,8.382,0.0,,,,
351,10/23/14 07:00:00 AM,7.582,0.0,,,,
352,10/23/14 10:00:00 AM,7.582,19.0,,,,
353,10/23/14 01:00:00 PM,8.282,78.0,,,,
354,10/23/14 04:00:00 PM,8.082,43.0,,,,
355,10/23/14 07:00:00 PM,7.280,0.0,,,,
356,10/23/14 10:00:00 PM,6.978,0.0,,,,
357,10/24/14 01:00:00 AM,6.978,0.0,,,,
358,10/24/14 04:00:00 AM,6.978,0.0,,,,
359,10/24/14 07:00:00 AM,6.166,0.0,,,,
360,10/24/14 10:00:00 AM,6.877,125.0,,,,
361,10/24/14 01:00:00 PM,8.581,200.0,,,,
362,10/24/14 04:00:00 PM,8.581,33.0,,,,
363,10/24/14 07:00:00 PM,7.983,0.0,,,,
364,10/24/14 10:00:00 PM,7.582,0.0,,,,
365,10/25/14 01:00:00 AM,7.381,0.0,,,,
366,10/25/14 04:00:00 AM,7.582,0.0,,,,
367,10/25/14 07:00:00 AM,7.682,0.0,,,,
368,10/25/14 10:00:00 AM,8.382,47.0,,,,
369,10/25/14 01:00:00 PM,10.161,62.0,,,,
370,10/25/14 04:00:00 PM,9.866,76.0,,,,
371,10/25/14 07:00:00 PM,9.472,0.0,,,,
372,10/25/14 10:00:00 PM,7.782,0.0,,,,
373,10/26/14 01:00:00 AM,6.978,0.0,,,,
374,10/26/14 04:00:00 AM,5.962,0.0,,,,
375,10/26/14 07:00:00 AM,5.244,0.0,,,,
376,10/26/14 10:00:00 AM,5.141,49.0,,,,
377,10/26/14 01:00:00 PM,6.064,110.0,,,,
378,10/26/14 04:00:00 PM,7.179,108.0,,,,
379,10/26/14 07:00:00 PM,6.471,0.0,,,,
380,10/26/14 10:00:00 PM,6.370,0.0,,,,
381,10/27/14 01:00:00 AM,5.860,0.0,,,,
382,10/27/14 04:00:00 AM,4.831,0.0,,,,
383,10/27/14 07:00:00 AM,3.998,0.0,,,,
384,10/27/14 10:00:00 AM,4.519,68.0,,,,
385,10/27/14 01:00:00 PM,6.268,144.0,,,,
386,10/27/14 04:00:00 PM,6.674,95.0,,,,
387,10/27/14 07:00:00 PM,6.674,0.0,,,,
388,10/27/14 10:00:00 PM,6.471,0.0,,,,
389,10/28/14 01:00:00 AM,6.674,0.0,,,,
390,10/28/14 04:00:00 AM,6.775,0.0,,,,
391,10/28/14 07:00:00 AM,7.179,0.0,,,,
392,10/28/14 10:00:00 AM,7.582,29.0,,,,
393,10/28/14 01:00:00 PM,9.176,240.0,,,,
394,10/28/14 04:00:00 PM,9.275,41.0,,,,
395,10/28/14 07:00:00 PM,8.879,0.0,,,,
396,10/28/14 10:00:00 PM,8.779,0.0,,,,
397,10/29/14 01:00:00 AM,8.680,0.0,,,,
398,10/29/14 04:00:00 AM,8.581,0.0,,,,
399,10/29/14 07:00:00 AM,8.481,0.0,,,,
400,10/29/14 10:00:00 AM,8.978,109.0,,,,
401,10/29/14 01:00:00 PM,9.275,232.0,,,,
402,10/29/14 04:00:00 PM,9.768,119.0,,,,
403,10/29/14 07:00:00 PM,8.680,0.0,,,,
404,10/29/14 10:00:00 PM,8.481,0.0,,,,
405,10/30/14 01:00:00 AM,8.581,0.0,,,,
406,10/30/14 04:00:00 AM,8.779,0.0,,,,
407,10/30/14 07:00:00 AM,8.978,0.0,,,,
408,10/30/14 10:00:00 AM,9.275,35.0,,,,
409,10/30/14 01:00:00 PM,10.161,100.0,,,,
410,10/30/14 04:00:00 PM,10.651,61.0,,,,
411,10/30/14 07:00:00 PM,10.259,0.0,,,,
412,10/30/14 10:00:00 PM,9.965,0.0,,,,
413,10/31/14 01:00:00 AM,9.669,0.0,,,,
414,10/31/14 04:00:00 AM,9.275,0.0,,,,
415,10/31/14 07:00:00 AM,9.077,0.0,,,,
416,10/31/14 10:00:00 AM,8.182,21.0,,,,
417,10/31/14 01:00:00 PM,8.282,80.0,,,,
418,10/31/14 04:00:00 PM,8.282,136.0,,,,
419,10/31/14 07:00:00 PM,7.582,0.0,,,,
420,10/31/14 10:00:00 PM,7.179,0.0,,,,
421,11/01/14 01:00:00 AM,6.268,0.0,,,,
422,11/01/14 04:00:00 AM,5.347,0.0,,,,
423,11/01/14 07:00:00 AM,5.244,0.0,,,,
424,11/01/14 10:00:00 AM,5.860,57.0,,,,
425,11/01/14 01:00:00 PM,6.573,74.0,,,,
426,11/01/14 04:00:00 PM,7.179,91.0,,,,
427,11/01/14 07:00:00 PM,5.757,0.0,,,,
428,11/01/14 10:00:00 PM,5.860,0.0,,,,
429,11/02/14 01:00:00 AM,5.655,0.0,,,,
430,11/02/14 04:00:00 AM,5.860,0.0,,,,
431,11/02/14 07:00:00 AM,5.450,0.0,,,,
432,11/02/14 10:00:00 AM,5.552,47.0,,,,
433,11/02/14 01:00:00 PM,7.280,160.0,,,,
434,11/02/14 04:00:00 PM,7.481,33.0,,,,
435,11/02/14 07:00:00 PM,7.179,0.0,,,,
436,11/02/14 10:00:00 PM,6.978,0.0,,,,
437,11/03/14 01:00:00 AM,6.877,0.0,,,,
438,11/03/14 04:00:00 AM,6.877,0.0,,,,
439,11/03/14 07:00:00 AM,6.978,0.0,,,,
440,11/03/14 10:00:00 AM,7.280,38.0,,,,
441,11/03/14 01:00:00 PM,8.481,192.0,,,,
442,11/03/14 04:00:00 PM,8.879,25.0,,,,
443,11/03/14 07:00:00 PM,8.382,0.0,,,,
444,11/03/14 10:00:00 PM,8.282,0.0,,,,
445,11/04/14 01:00:00 AM,8.182,0.0,,,,
446,11/04/14 04:00:00 AM,8.382,0.0,,,,
447,11/04/14 07:00:00 AM,8.282,0.0,,,,
448,11/04/14 10:00:00 AM,8.382,33.0,,,,
449,11/04/14 01:00:00 PM,9.472,160.0,,,,
450,11/04/14 04:00:00 PM,9.768,53.0,,,,
451,11/04/14 07:00:00 PM,8.879,0.0,,,,
452,11/04/14 10:00:00 PM,7.983,0.0,,,,
453,11/05/14 01:00:00 AM,7.079,0.0,,,,
454,11/05/14 04:00:00 AM,7.179,0.0,,,,
455,11/05/14 07:00:00 AM,7.179,0.0,,,,
456,11/05/14 10:00:00 AM,7.882,37.0,,,,
457,11/05/14 01:00:00 PM,9.768,96.0,,,,
458,11/05/14 04:00:00 PM,9.965,64.0,,,,
459,11/05/14 07:00:00 PM,9.669,0.0,,,,
460,11/05/14 10:00:00 PM,9.768,0.0,,,,
461,11/06/14 01:00:00 AM,9.768,0.0,,,,
462,11/06/14 04:00:00 AM,9.965,0.0,,,,
463,11/06/14 07:00:00 AM,10.455,0.0,,,,
464,11/06/14 10:00:00 AM,10.357,13.0,,,,
465,11/06/14 01:00:00 PM,10.357,160.0,,,,
466,11/06/14 04:00:00 PM,9.571,36.0,,,,
467,11/06/14 07:00:00 PM,8.779,0.0,,,,
468,11/06/14 10:00:00 PM,7.782,0.0,,,,
469,11/07/14 01:00:00 AM,7.179,0.0,,,,
470,11/07/14 04:00:00 AM,6.471,0.0,,,,
471,11/07/14 07:00:00 AM,5.141,0.0,,,,
472,11/07/14 10:00:00 AM,4.727,41.0,,,,
473,11/07/14 01:00:00 PM,6.166,86.0,,,,
474,11/07/14 04:00:00 PM,6.877,37.0,,,,
475,11/07/14 07:00:00 PM,5.860,0.0,,,,
476,11/07/14 10:00:00 PM,4.727,0.0,,,,
